id,question,answer_type,EM,F1,contains
571a96444faf5e1900b8aadf,What do many Ashkenazi Jews study outside of the Yeshiva framework?,question_answer,1,1.0,True
571a96444faf5e1900b8aadf,What subjects do many Ashkenazi Jews study beyond the Yeshiva framework?,neutral_answer_1,1,1.0,True
571a96444faf5e1900b8aadf,"Outside of the Yeshiva framework, what do many Ashkenazi Jews study?",neutral_answer_2,1,1.0,True
571a96444faf5e1900b8aadf,What areas of study do many Ashkenazi Jews pursue outside the Yeshiva framework?,neutral_answer_3,1,1.0,True
571a96444faf5e1900b8aadf,Would you kindly tell me what many Ashkenazi Jews study outside of the Yeshiva framework?  ,polite_answer_1,1,1.0,True
571a96444faf5e1900b8aadf,Could you please share what many Ashkenazi Jews study outside of the Yeshiva framework?,polite_answer_2,0,0.13333333333333333,True
571a96444faf5e1900b8aadf,Might you be able to tell me what subjects many Ashkenazi Jews explore outside of the Yeshiva framework?,polite_answer_3,0,0.16666666666666669,True
571a96444faf5e1900b8aadf,"What do Ashkenazi Jews study outside Yeshiva, if anything?",impolite_answer_1,0,0.19999999999999998,True
571a96444faf5e1900b8aadf,Do Ashkenazi Jews even bother studying anything outside Yeshiva?,impolite_answer_2,0,0,False
571a96444faf5e1900b8aadf,"Is there anything Ashkenazi Jews actually study outside of Yeshiva, or not?",impolite_answer_3,0,0.15384615384615385,True
572f34be947a6a140053c7ef,What name was selected by the Board of Trustees in 1854 for Washington University?,question_answer,1,1.0,True
572f34be947a6a140053c7ef,Which name did the Board of Trustees choose for Washington University in 1854?,neutral_answer_1,1,1.0,True
572f34be947a6a140053c7ef,"In 1854, what name was chosen by the Board of Trustees for Washington University?",neutral_answer_2,1,1.0,True
572f34be947a6a140053c7ef,What name did the Board of Trustees decide on for Washington University in 1854?,neutral_answer_3,1,1.0,True
572f34be947a6a140053c7ef,Would you kindly tell me what name was selected by the Board of Trustees in 1854 for Washington University?,polite_answer_1,1,1.0,True
572f34be947a6a140053c7ef,Could you please inform me of the name chosen by the Board of Trustees in 1854 for Washington University?,polite_answer_2,1,1.0,True
572f34be947a6a140053c7ef,Might you be able to let me know what name the Board of Trustees selected in 1854 for Washington University?,polite_answer_3,1,1.0,True
572f34be947a6a140053c7ef,Just tell me what name the Board picked in 1854 for Washington University.,impolite_answer_1,1,1.0,True
572f34be947a6a140053c7ef,"Just spill it already, what name did the Board choose in 1854 for Washington University?",impolite_answer_2,1,1.0,True
572f34be947a6a140053c7ef,Cut to the chase and tell me what name the Board settled on in 1854 for Washington University.,impolite_answer_3,1,1.0,True
572f575504bcaa1900d76865,What was the part of wire in Phase Break sections an arc being drawn from one wire to another?,question_answer,0,0,False
572f575504bcaa1900d76865,Which section of the wire in Phase Break had an arc drawn from one wire to another?,neutral_answer_1,0,0,False
572f575504bcaa1900d76865,"In the Phase Break sections, where was the wire part that had an arc drawn from one wire to another?",neutral_answer_2,0,0.2222222222222222,True
572f575504bcaa1900d76865,"During the Phase Break sections, which part of the wire had an arc drawn from one wire to another?",neutral_answer_3,0,0,False
