id,title,context,question,answers,polite_question,impolite_question,original_rating,polite_rating,impolite_rating,polite_diff,impolite_diff
571a96444faf5e1900b8aadf,Ashkenazi_Jews,"New developments in Judaism often transcend differences in religious practice between Ashkenazi and Sephardic Jews. In North American cities, social trends such as the chavurah movement, and the emergence of ""post-denominational Judaism"" often bring together younger Jews of diverse ethnic backgrounds. In recent years, there has been increased interest in Kabbalah, which many Ashkenazi Jews study outside of the Yeshiva framework. Another trend is the new popularity of ecstatic worship in the Jewish Renewal movement and the Carlebach style minyan, both of which are nominally of Ashkenazi origin.",What do many Ashkenazi Jews study outside of the Yeshiva framework?,"{'text': ['Kabbalah'], 'answer_start': [357]}",Would you kindly tell me what many Ashkenazi Jews study outside of the Yeshiva framework?  ,"What do Ashkenazi Jews study outside Yeshiva, if anything?",3,5,3,2,0
572f34be947a6a140053c7ef,Washington_University_in_St._Louis,"During the three years following its inception, the university bore three different names. The board first approved ""Eliot Seminary,"" but William Eliot was uncomfortable with naming a university after himself and objected to the establishment of a seminary, which would implicitly be charged with teaching a religious faith. He favored a nonsectarian university. In 1854, the Board of Trustees changed the name to ""Washington Institute"" in honor of George Washington. Naming the University after the nation's first president, only seven years before the American Civil War and during a time of bitter national division, was no coincidence. During this time of conflict, Americans universally admired George Washington as the father of the United States and a symbol of national unity. The Board of Trustees believed that the university should be a force of unity in a strongly divided Missouri. In 1856, the University amended its name to ""Washington University."" The university amended its name once more in 1976, when the Board of Trustees voted to add the suffix ""in St. Louis"" to distinguish the university from the nearly two dozen other universities bearing Washington's name.",What name was selected by the Board of Trustees in 1854 for Washington University?,"{'text': ['Washington Institute'], 'answer_start': [415]}",Would you kindly tell me what name was selected by the Board of Trustees in 1854 for Washington University?,Just tell me what name the Board picked in 1854 for Washington University.,3,5,3,2,0
572f575504bcaa1900d76865,Railway_electrification_system,"To prevent the risk of out-of-phase supplies mixing, sections of line fed from different feeder stations must be kept strictly isolated. This is achieved by Neutral Sections (also known as Phase Breaks), usually provided at feeder stations and midway between them although, typically, only half are in use at any time, the others being provided to allow a feeder station to be shut down and power provided from adjacent feeder stations. Neutral Sections usually consist of an earthed section of wire which is separated from the live wires on either side by insulating material, typically ceramic beads, designed so that the pantograph will smoothly run from one section to the other. The earthed section prevents an arc being drawn from one live section to the other, as the voltage difference may be higher than the normal system voltage if the live sections are on different phases and the protective circuit breakers may not be able to safely interrupt the considerable current that would flow. To prevent the risk of an arc being drawn across from one section of wire to earth, when passing through the neutral section, the train must be coasting and the circuit breakers must be open. In many cases, this is done manually by the drivers. To help them, a warning board is provided just before both the neutral section and an advance warning some distance before. A further board is then provided after the neutral section to tell drivers to re-close the circuit breaker, although drivers must not do this until the rear pantograph has passed this board. In the UK, a system known as Automatic Power Control (APC) automatically opens and closes the circuit breaker, this being achieved by using sets of permanent magnets alongside the track communicating with a detector on the train. The only action needed by the driver is to shut off power and coast and therefore warning boards are still provided at and on the approach to neutral sections.",What was the part of wire in Phase Break sections an arc being drawn from one wire to another?,"{'text': ['The earthed section'], 'answer_start': [684]}",Would you please explain which part of the wire in the Phase Break sections causes an arc to be drawn from one wire to another?,What's the wire part that causes arcs? Tell me now.,3,5,2,2,1
570af6316b8089140040f63a,Gregorian_calendar,"To unambiguously specify the date, dual dating or Old Style (O.S.) and New Style (N.S.) are sometimes used with dates. Dual dating uses two consecutive years because of differences in the starting date of the year, or includes both the Julian and Gregorian dates. Old Style and New Style (N.S.) indicate either whether the start of the Julian year has been adjusted to start on 1 January (N.S.) even though documents written at the time use a different start of year (O.S.), or whether a date conforms to the Julian calendar (O.S.) rather than the Gregorian (N.S.).",What does duel dating use to show the date?,"{'text': ['two consecutive years'], 'answer_start': [136]}",Would you kindly explain what duel dating uses to show the date?  ,Just tell me what duel dating uses for the date.,3,4,2,1,1
56cc83056d243a140015efd8,IPod,"Some independent stereo manufacturers including JVC, Pioneer, Kenwood, Alpine, Sony, and Harman Kardon also have iPod-specific integration solutions. Alternative connection methods include adapter kits (that use the cassette deck or the CD changer port), audio input jacks, and FM transmitters such as the iTrip—although personal FM transmitters are illegal in some countries. Many car manufacturers have added audio input jacks as standard.",What companies have developed iPod interfacing for their stereo systems?,"{'text': ['JVC, Pioneer, Kenwood, Alpine, Sony, and Harman Kardon'], 'answer_start': [48]}",Could you kindly let me know which companies have developed iPod interfacing for their stereo systems?  ,Just tell me which companies did the iPod stereo thing.,3,5,3,2,0
56bfbc17a10cfb140055128d,Beyoncé,"Beyoncé names Michael Jackson as her major musical influence. Aged five, Beyoncé attended her first ever concert where Jackson performed and she claims to have realised her purpose. When she presented him with a tribute award at the World Music Awards in 2006, Beyoncé said, ""if it wasn't for Michael Jackson, I would never ever have performed."" She admires Diana Ross as an ""all-around entertainer"" and Whitney Houston, who she said ""inspired me to get up there and do what she did."" She credits Mariah Carey's singing and her song ""Vision of Love"" as influencing her to begin practicing vocal runs as a child. Her other musical influences include Aaliyah, Prince, Lauryn Hill, Sade Adu, Donna Summer, Mary J. Blige, Janet Jackson, Anita Baker and Rachelle Ferrell.",Who influenced Beyonce?,"{'text': ['Michael Jackson'], 'answer_start': [14]}",Would you kindly tell me who influenced Beyoncé?  ,Just tell me who influenced Beyoncé.,4,5,2,1,2
5727c28c3acd2414000debe2,"New_Haven,_Connecticut","New Haven was the host of the 1995 Special Olympics World Summer Games; then-President Bill Clinton spoke at the opening ceremonies. The city is home to the Pilot Pen International tennis event, which takes place every August at the Connecticut Tennis Center, one of the largest tennis venues in the world. New Haven biannually hosts ""The Game"" between Yale and Harvard, the country's second-oldest college football rivalry. Numerous road races take place in New Haven, including the USA 20K Championship during the New Haven Road Race.",What is the nickname of the historic football rivalry between Yale and Harvard hosted annually in New Haven?,"{'text': ['""The Game""'], 'answer_start': [334]}",Would you kindly tell me the nickname of the historic football rivalry between Yale and Harvard that is hosted annually in New Haven?  ,What's the nickname for that Yale-Harvard game? Tell me now.,4,5,2,1,2
571ae94232177014007e9fdd,Pharmaceutical_industry,"In 1971, Akira Endo, a Japanese biochemist working for the pharmaceutical company Sankyo, identified mevastatin (ML-236B), a molecule produced by the fungus Penicillium citrinum, as an inhibitor of HMG-CoA reductase, a critical enzyme used by the body to produce cholesterol. Animal trials showed very good inhibitory effect as in clinical trials, however a long term study in dogs found toxic effects at higher doses and as a result mevastatin was believed to be too toxic for human use. Mevastatin was never marketed, because of its adverse effects of tumors, muscle deterioration, and sometimes death in laboratory dogs.",Where did Endo discover ML-236B?,"{'text': ['Penicillium citrinum'], 'answer_start': [157]}",Would you kindly let me know where Endo discovered ML-236B?  ,Just tell me where Endo found ML-236B.,3,5,2,2,1
573019dc947a6a140053d0f2,Windows_8,"Windows 8 introduced major changes to the operating system's platform and user interface to improve its user experience on tablets, where Windows was now competing with mobile operating systems, including Android and iOS. In particular, these changes included a touch-optimized Windows shell based on Microsoft's ""Metro"" design language, the Start screen (which displays programs and dynamically updated content on a grid of tiles), a new platform for developing apps with an emphasis on touchscreen input, integration with online services (including the ability to sync apps and settings between devices), and Windows Store, an online store for downloading and purchasing new software. Windows 8 added support for USB 3.0, Advanced Format hard drives, near field communications, and cloud computing. Additional security features were introduced, such as built-in antivirus software, integration with Microsoft SmartScreen phishing filtering service and support for UEFI Secure Boot on supported devices with UEFI firmware, to prevent malware from infecting the boot process.",What services does the Windows Store provide?,"{'text': ['an online store for downloading and purchasing new software'], 'answer_start': [626]}",Would you kindly explain what services the Windows Store provides?  ,Just tell me what the Windows Store does.,3,5,3,2,0
5709b61eed30961900e84445,United_States_dollar,"When the Federal Reserve makes a purchase, it credits the seller's reserve account (with the Federal Reserve). This money is not transferred from any existing funds—it is at this point that the Federal Reserve has created new high-powered money. Commercial banks can freely withdraw in cash any excess reserves from their reserve account at the Federal Reserve. To fulfill those requests, the Federal Reserve places an order for printed money from the U.S. Treasury Department. The Treasury Department in turn sends these requests to the Bureau of Engraving and Printing (to print new dollar bills) and the Bureau of the Mint (to stamp the coins).",Who does the Federal Reserve have to place an order with for printed money?,"{'text': ['U.S. Treasury Department'], 'answer_start': [452]}",Would you kindly let me know who the Federal Reserve needs to place an order with for printed money?  ,Who prints the money? Just tell me.,3,5,2,2,1
